District_Name,Soil_Color,Nitrogen,Phosphorus,Potassium,pH,Rainfall,Temperature,Crop,Fertilizer,Link
Jodhpur,Sandy Brown,80,20,167,7.8,314,38,Guar,Urea,
Jodhpur,Desert Sand,97,9,206,8,363,38,Guar,Urea,
Jodhpur,Desert Sand,99,18,366,7.3,383,38,Guar,Urea,
Jodhpur,Light Brown,92,23,329,7.3,368,38,Guar,Urea,
Jodhpur,Sandy Brown,95,17,231,7.2,319,38,Guar,Urea,
Jodhpur,Sandy Brown,117,11,291,7.9,250,38,Guar,DAP,
Jodhpur,Sandy Brown,91,17,199,7.3,322,39,Guar,DAP,
Jodhpur,Desert Sand,100,24,312,7.8,377,39,Guar,Urea,
Jodhpur,Pale Yellow,127,14,407,8.2,400,39,Guar,SSP,
Jodhpur,Light Brown,82,19,277,7.4,383,39,Guar,Urea,
Jodhpur,Yellow Brown,120,30,331,7.8,328,39,Guar,Urea,
Jodhpur,Pale Yellow,72,13,342,8.2,250,39,Guar,Urea,
Jodhpur,Yellow Brown,86,14,288,8.3,331,39,Guar,Urea,
Jodhpur,Desert Sand,102,15,287,7.7,392,39,Guar,DAP,
Jodhpur,Sandy Brown,94,13,347,7.8,417,40,Guar,Urea,
Jodhpur,Pale Yellow,110,24,191,8.5,397,40,Guar,Urea,
Jodhpur,Desert Sand,108,19,321,8.3,336,40,Guar,Urea,
Jodhpur,Yellow Brown,107,11,365,7.5,250,40,Guar,Urea,
Jodhpur,Yellow Brown,106,12,195,8.2,338,40,Guar,Urea,
Jodhpur,Light Brown,91,20,273,7.5,403,40,Guar,DAP,
Jodhpur,Pale Yellow,107,14,364,7.5,428,40,Guar,Urea,
Jodhpur,Sandy Brown,98,24,181,8.3,405,40,Guar,Urea,
Jodhpur,Sandy Brown,117,21,190,8,340,41,Guar,Urea,
Jodhpur,Yellow Brown,99,12,381,7.7,250,41,Guar,Urea,
Jodhpur,Pale Yellow,127,24,251,7.5,340,41,Guar,SSP,
Jodhpur,Sandy Brown,97,14,360,7.7,406,41,Guar,Urea,
Jodhpur,Pale Yellow,87,13,201,8.2,429,41,Guar,Urea,
Jodhpur,Yellow Brown,211,13,176,7.4,404,41,Mustard,SSP,
Jodhpur,Desert Sand,178,19,167,7.3,339,41,Mustard,NPK,
Jodhpur,Light Brown,169,32,148,7.8,250,41,Mustard,NPK,
Jodhpur,Yellow Brown,217,19,213,7.2,337,41,Mustard,SSP,
Jodhpur,Light Brown,148,31,242,8,399,41,Mustard,Zinc Sulphate,
Jodhpur,Pale Yellow,207,33,288,8.2,420,42,Mustard,Zinc Sulphate,
Jodhpur,Yellow Brown,188,13,162,8.3,395,42,Mustard,SSP,
Jodhpur,Light Brown,212,23,137,7.3,333,42,Mustard,NPK,
Jodhpur,Light Brown,183,19,150,7.8,250,42,Mustard,MOP,
Jodhpur,Light Brown,176,17,239,7.6,330,42,Mustard,Zinc Sulphate,
Jodhpur,Yellow Brown,204,19,178,8,386,42,Mustard,NPK,
Jodhpur,Desert Sand,164,20,213,8.4,404,42,Mustard,Compost,
Jodhpur,Desert Sand,222,17,154,7.7,381,42,Mustard,NPK,
Jodhpur,Sandy Brown,258,13,162,7.9,324,42,Mustard,DAP,
Jodhpur,Pale Yellow,189,17,268,8,250,42,Mustard,NPK,
Jodhpur,Pale Yellow,163,23,224,8,321,42,Mustard,DAP,
Jodhpur,Desert Sand,218,16,263,8,371,42,Mustard,MOP,
Jodhpur,Desert Sand,221,32,282,7.4,387,42,Mustard,Gypsum,
Jodhpur,Light Brown,155,23,187,7.5,366,43,Mustard,NPK,
Jodhpur,Pale Yellow,197,12,271,7.6,316,43,Mustard,SSP,
Jodhpur,Pale Yellow,235,22,212,8.4,250,43,Mustard,FYM,
Jodhpur,Pale Yellow,146,14,150,8.2,314,43,Mustard,SSP,
Jodhpur,Light Brown,176,17,163,7.4,359,43,Mustard,MOP,
Jodhpur,Light Brown,231,20,215,8.4,374,43,Mustard,Vermicompost,
Jodhpur,Yellow Brown,212,12,258,7.6,356,43,Mustard,SSP,
Jodhpur,Sandy Brown,242,31,264,7.6,311,43,Mustard,Compost,
Jodhpur,Sandy Brown,214,13,150,8.3,250,43,Mustard,DAP,
Jodhpur,Yellow Brown,168,28,265,7.4,310,43,Mustard,FYM,
Jodhpur,Sandy Brown,239,32,288,7.9,354,43,Mustard,Urea,
Jodhpur,Desert Sand,251,14,296,8.1,370,43,Mustard,DAP,
Jodhpur,Yellow Brown,159,20,168,8.3,354,43,Mustard,MOP,
Jodhpur,Sandy Brown,219,28,160,7.4,311,43,Mustard,NPK,
Jodhpur,Desert Sand,200,20,229,8.3,250,43,Mustard,Vermicompost,
Jodhpur,Desert Sand,141,28,190,7.5,312,43,Mustard,MOP,
Jodhpur,Desert Sand,235,15,136,8,358,43,Mustard,NPK,
Jodhpur,Sandy Brown,209,29,243,7.7,377,43,Mustard,Vermicompost,
Jodhpur,Pale Yellow,134,26,207,7.6,362,43,Mustard,NPK,
Jodhpur,Pale Yellow,178,28,264,8.2,316,43,Mustard,FYM,
Jodhpur,Light Brown,138,22,238,8,250,43,Mustard,SSP,
Jodhpur,Light Brown,156,13,155,7.2,318,43,Mustard,DAP,
Jodhpur,Yellow Brown,195,15,191,7.4,370,43,Mustard,NPK,
Jodhpur,Desert Sand,182,21,274,7.2,392,43,Mustard,Urea,
Jodhpur,Light Brown,205,21,278,7.4,375,43,Mustard,Gypsum,
Jodhpur,Pale Yellow,183,19,141,8.1,324,43,Mustard,NPK,
Jodhpur,Sandy Brown,153,11,236,7.4,250,43,Mustard,DAP,
Jodhpur,Sandy Brown,191,14,174,7.5,327,43,Mustard,DAP,
Jodhpur,Pale Yellow,210,27,304,7.4,386,43,Mustard,Zinc Sulphate,
Jodhpur,Desert Sand,238,29,231,8.5,409,43,Mustard,Gypsum,
Jodhpur,Desert Sand,233,23,159,8.3,390,43,Mustard,NPK,
Jodhpur,Desert Sand,153,28,184,7.2,332,43,Mustard,MOP,
Jodhpur,Light Brown,199,30,154,7.6,250,43,Wheat,NPK,
Jodhpur,Sandy Brown,248,22,173,7.2,335,43,Wheat,NPK,
Jodhpur,Pale Yellow,271,30,185,7.6,399,43,Wheat,MOP,
Jodhpur,Desert Sand,211,27,249,7.2,424,43,Wheat,Zinc Sulphate,
Jodhpur,Light Brown,218,33,292,7.3,402,43,Wheat,NPK,
Jodhpur,Desert Sand,245,17,190,7.3,338,42,Wheat,MOP,
Jodhpur,Desert Sand,228,35,247,7.8,250,42,Wheat,NPK,
Jodhpur,Yellow Brown,204,30,325,7.7,340,42,Wheat,Zinc Sulphate,
Jodhpur,Sandy Brown,255,22,162,7.8,406,42,Wheat,MOP,
Jodhpur,Pale Yellow,174,27,193,7.7,430,42,Wheat,NPK,
Jodhpur,Sandy Brown,216,25,153,8.3,406,42,Wheat,MOP,
Jodhpur,Yellow Brown,204,16,167,7.8,340,42,Wheat,NPK,
Jodhpur,Yellow Brown,209,16,164,8.1,250,42,Wheat,MOP,
Jodhpur,Pale Yellow,222,13,276,7.7,339,42,Wheat,DAP,
Jodhpur,Pale Yellow,155,16,283,7.8,403,42,Wheat,Gypsum,
Jodhpur,Pale Yellow,264,36,251,7.5,426,42,Wheat,FYM,
Jodhpur,Light Brown,209,29,271,7.5,401,42,Wheat,Urea,
Jodhpur,Sandy Brown,217,28,297,8.2,336,42,Wheat,Compost,
Jodhpur,Light Brown,246,12,165,8,250,42,Wheat,SSP,
Jodhpur,Sandy Brown,248,20,326,7.3,334,41,Wheat,Compost,
Jodhpur,Pale Yellow,223,13,291,8.4,393,41,Wheat,DAP,
Jodhpur,Sandy Brown,161,12,223,7.8,412,41,Wheat,DAP,
Jodhpur,Sandy Brown,238,23,300,7.7,388,41,Wheat,Gypsum,
Jodhpur,Sandy Brown,264,30,245,7.8,328,41,Wheat,SSP,
Jodhpur,Sandy Brown,208,28,243,8.3,250,41,Wheat,FYM,
Jodhpur,Pale Yellow,209,22,269,7.6,325,41,Wheat,Zinc Sulphate,
Jodhpur,Desert Sand,192,35,160,7.3,378,41,Wheat,NPK,
Jodhpur,Light Brown,253,30,246,8.2,395,41,Wheat,Vermicompost,
Jodhpur,Light Brown,186,34,186,8,373,41,Wheat,NPK,
Jodhpur,Yellow Brown,184,23,228,7.7,319,40,Wheat,NPK,
Jodhpur,Light Brown,163,36,213,7.7,250,40,Wheat,FYM,
Jodhpur,Light Brown,208,13,284,7.2,317,40,Wheat,DAP,
Jodhpur,Sandy Brown,224,25,277,7.8,364,40,Wheat,Zinc Sulphate,
Jodhpur,Sandy Brown,268,15,247,7.4,379,40,Wheat,FYM,
Jodhpur,Light Brown,280,14,301,7.5,360,40,Wheat,SSP,
Jodhpur,Yellow Brown,144,24,172,8.5,313,40,Wheat,MOP,
Jodhpur,Desert Sand,196,31,285,7.5,250,40,Wheat,DAP,
Jodhpur,Pale Yellow,244,31,300,7.2,311,39,Wheat,SSP,
Jodhpur,Desert Sand,207,22,159,8.3,355,39,Wheat,NPK,
Jodhpur,Yellow Brown,177,34,169,7.3,371,39,Wheat,MOP,
Jodhpur,Yellow Brown,246,14,308,7.5,354,39,Wheat,DAP,
Jodhpur,Yellow Brown,209,30,250,7.2,310,39,Wheat,Zinc Sulphate,
Jodhpur,Pale Yellow,219,35,235,7.8,250,39,Wheat,Zinc Sulphate,
Jodhpur,Pale Yellow,209,25,262,8.2,310,39,Wheat,FYM,
Jodhpur,Yellow Brown,252,33,176,7.5,355,38,Wheat,NPK,
Jodhpur,Light Brown,184,17,311,7.4,372,38,Wheat,SSP,
Jodhpur,Pale Yellow,186,19,178,8,357,38,Wheat,MOP,
Jodhpur,Yellow Brown,263,15,196,7.3,313,38,Wheat,MOP,
Jodhpur,Sandy Brown,209,27,298,8.4,250,38,Wheat,FYM,
Jodhpur,Light Brown,167,35,199,8.5,315,38,Wheat,NPK,
Jodhpur,Yellow Brown,154,16,218,7.5,364,38,Cumin,Vermicompost,
Jodhpur,Sandy Brown,161,18,147,7.5,384,37,Cumin,MOP,
Jodhpur,Pale Yellow,135,8,142,8.4,368,37,Cumin,DAP,
Jodhpur,Pale Yellow,138,11,214,7.4,320,37,Cumin,DAP,
Jodhpur,Pale Yellow,163,18,209,7.4,250,37,Cumin,Vermicompost,
Jodhpur,Light Brown,107,13,170,8.4,323,37,Cumin,Urea,
Jodhpur,Sandy Brown,146,21,173,7.5,378,37,Cumin,NPK,
Jodhpur,Pale Yellow,97,12,181,8.4,401,36,Cumin,DAP,
Jodhpur,Light Brown,145,16,255,7.2,383,36,Cumin,Urea,
Jodhpur,Yellow Brown,120,7,136,7.7,329,36,Cumin,DAP,
Jodhpur,Yellow Brown,96,18,228,8,250,36,Cumin,Urea,
Jodhpur,Light Brown,113,20,119,8.4,331,36,Cumin,Urea,
Jodhpur,Sandy Brown,93,20,115,8.1,393,36,Cumin,Urea,
Jodhpur,Yellow Brown,152,17,208,7.3,418,35,Cumin,Compost,
Jodhpur,Pale Yellow,149,18,181,8.3,397,35,Cumin,MOP,
Jodhpur,Sandy Brown,107,15,264,8.2,336,35,Cumin,DAP,
Jodhpur,Sandy Brown,142,18,176,8.3,250,35,Cumin,MOP,
Jodhpur,Sandy Brown,121,7,225,8.2,338,35,Cumin,DAP,
Jodhpur,Light Brown,165,9,235,7.7,403,35,Cumin,SSP,
Jodhpur,Light Brown,110,17,197,8,428,34,Cumin,Urea,
Jodhpur,Light Brown,135,15,179,8,405,34,Cumin,MOP,
Jodhpur,Desert Sand,152,11,180,8.2,340,34,Cumin,DAP,
Jodhpur,Desert Sand,113,14,158,7.6,250,34,Cumin,DAP,
Jodhpur,Desert Sand,133,19,187,8.2,340,34,Cumin,NPK,
Jodhpur,Desert Sand,142,22,206,7.7,406,34,Cumin,DAP,
Jodhpur,Light Brown,118,19,138,7.4,429,33,Cumin,Urea,
Jodhpur,Desert Sand,146,21,235,7.4,404,33,Cumin,DAP,
Jodhpur,Yellow Brown,167,17,239,8.1,338,33,Cumin,NPK,
Jodhpur,Desert Sand,132,20,150,8.2,250,33,Cumin,NPK,
Jodhpur,Desert Sand,145,21,137,7.4,337,33,Cumin,NPK,
Jodhpur,Pale Yellow,156,13,233,7.3,399,33,Cumin,DAP,
Jodhpur,Light Brown,118,14,187,7.8,419,32,Cumin,Urea,
Jodhpur,Sandy Brown,136,17,166,7.2,395,32,Cumin,MOP,
Jodhpur,Yellow Brown,114,16,205,8.2,332,32,Cumin,DAP,
Jodhpur,Sandy Brown,109,9,252,7.7,250,32,Cumin,Urea,
Jodhpur,Desert Sand,104,7,146,8.3,330,32,Cumin,Urea,
Jodhpur,Pale Yellow,93,12,148,8.1,385,32,Cumin,Urea,
Jodhpur,Pale Yellow,105,17,212,7.3,403,31,Cumin,Urea,
Jodhpur,Light Brown,115,12,242,7.2,380,31,Cumin,Urea,
Jodhpur,Pale Yellow,145,16,178,8,324,31,Cumin,NPK,
Jodhpur,Yellow Brown,132,18,172,8.4,250,31,Cumin,MOP,
Jodhpur,Yellow Brown,133,11,222,8.4,321,31,Cumin,DAP,
Jodhpur,Desert Sand,160,10,143,8.3,370,31,Cumin,DAP,
Jodhpur,Sandy Brown,127,15,220,7.3,386,30,Cumin,SSP,
Jodhpur,Light Brown,107,8,158,7.9,365,30,Cumin,Urea,
Jodhpur,Yellow Brown,148,17,198,8.1,315,30,Cumin,NPK,
Jodhpur,Light Brown,141,8,206,7.3,250,30,Cumin,DAP,
Jodhpur,Yellow Brown,92,19,114,7.2,313,30,Cumin,Urea,
Jodhpur,Yellow Brown,98,8,159,8,358,30,Cumin,DAP,
Jodhpur,Yellow Brown,119,8,231,7.8,373,29,Cumin,Urea,
Jodhpur,Desert Sand,160,19,173,8.2,356,29,Isabgol,NPK,
Jodhpur,Yellow Brown,133,21,174,8,311,29,Isabgol,MOP,
Jodhpur,Yellow Brown,157,18,268,7.8,250,29,Isabgol,Urea,
Jodhpur,Yellow Brown,117,9,185,8.4,310,29,Isabgol,Urea,
Jodhpur,Yellow Brown,113,23,181,8.5,354,29,Isabgol,DAP,
Jodhpur,Yellow Brown,164,18,143,7.6,370,28,Isabgol,NPK,
Jodhpur,Pale Yellow,140,18,223,8.2,355,28,Isabgol,FYM,
Jodhpur,Light Brown,145,23,194,8.3,311,28,Isabgol,NPK,
Jodhpur,Light Brown,126,15,182,7.8,250,28,Isabgol,NPK,
Jodhpur,Sandy Brown,166,12,126,7.9,312,28,Isabgol,DAP,
Jodhpur,Yellow Brown,198,12,309,7.4,359,28,Isabgol,DAP,
Jodhpur,Light Brown,175,9,251,7.5,378,28,Isabgol,SSP,
Jodhpur,Sandy Brown,141,18,195,7.6,362,27,Isabgol,NPK,
Jodhpur,Yellow Brown,170,17,277,8.5,316,27,Isabgol,Compost,
Jodhpur,Yellow Brown,165,16,270,8.5,250,27,Isabgol,Vermicompost,
Jodhpur,Light Brown,166,14,255,7.9,319,27,Isabgol,DAP,
Jodhpur,Yellow Brown,109,11,165,8.4,371,27,Isabgol,Urea,
Jodhpur,Yellow Brown,165,20,236,8.2,393,27,Isabgol,Urea,
Jodhpur,Desert Sand,150,19,216,8.3,376,27,Isabgol,DAP,
Jodhpur,Light Brown,164,11,175,7.9,324,26,Isabgol,DAP,
Jodhpur,Yellow Brown,140,14,187,8,250,26,Isabgol,SSP,
Jodhpur,Pale Yellow,110,17,199,7.7,327,26,Isabgol,Urea,
Jodhpur,Light Brown,113,20,136,7.7,386,26,Isabgol,Urea,
Jodhpur,Sandy Brown,171,8,218,8.4,410,26,Isabgol,SSP,
Jodhpur,Desert Sand,168,18,172,7.7,391,26,Isabgol,NPK,
Jodhpur,Pale Yellow,153,18,189,8.5,333,26,Isabgol,MOP,
Jodhpur,Sandy Brown,156,16,241,7.2,250,26,Isabgol,MOP,
Jodhpur,Desert Sand,153,13,271,7.3,335,25,Isabgol,SSP,
Jodhpur,Light Brown,124,9,281,8.4,399,25,Isabgol,SSP,
Jodhpur,Sandy Brown,133,19,262,8,424,25,Isabgol,FYM,
Jodhpur,Desert Sand,163,22,285,8.4,402,25,Isabgol,SSP,
Jodhpur,Pale Yellow,134,13,177,7.2,339,25,Isabgol,DAP,
Jodhpur,Desert Sand,151,8,167,8,250,25,Isabgol,SSP,
Jodhpur,Yellow Brown,152,22,149,8.3,340,25,Isabgol,NPK,
Jodhpur,Pale Yellow,134,14,175,7.7,406,25,Isabgol,DAP,
Jodhpur,Desert Sand,137,15,190,7.9,430,25,Isabgol,MOP,
Jodhpur,Pale Yellow,158,13,138,8.3,406,25,Isabgol,DAP,
Jodhpur,Sandy Brown,116,10,200,7.9,340,24,Isabgol,Urea,
Jodhpur,Sandy Brown,165,24,264,7.5,250,24,Isabgol,DAP,
Jodhpur,Pale Yellow,132,16,244,8.2,339,24,Isabgol,MOP,
Jodhpur,Yellow Brown,144,21,285,8.2,403,24,Isabgol,Compost,
Jodhpur,Sandy Brown,178,12,220,7.8,425,24,Isabgol,DAP,
Jodhpur,Sandy Brown,122,14,300,8.1,400,24,Isabgol,DAP,
Jodhpur,Yellow Brown,148,24,289,8.4,336,24,Isabgol,Zinc Sulphate,
Jodhpur,Pale Yellow,134,15,280,8,250,24,Isabgol,SSP,
Jodhpur,Yellow Brown,163,12,220,8.2,333,24,Isabgol,SSP,
Jodhpur,Yellow Brown,141,16,172,8.4,392,24,Isabgol,MOP,
Jodhpur,Light Brown,166,16,218,8.4,411,24,Isabgol,Vermicompost,
Jodhpur,Sandy Brown,161,18,195,8.2,387,24,Isabgol,MOP,
Jodhpur,Yellow Brown,176,20,181,8,328,24,Isabgol,NPK,
Jodhpur,Light Brown,134,14,141,7.7,250,24,Sesame,DAP,
Jodhpur,Light Brown,123,31,200,7.6,325,23,Sesame,Zinc Sulphate,
Jodhpur,Desert Sand,89,10,239,8.1,377,23,Sesame,DAP,
Jodhpur,Sandy Brown,134,21,195,7.7,394,23,Sesame,MOP,
Jodhpur,Pale Yellow,132,12,170,7.6,372,23,Sesame,SSP,
Jodhpur,Desert Sand,135,11,265,8.4,319,23,Sesame,DAP,
Jodhpur,Sandy Brown,118,11,152,7.7,250,23,Sesame,Urea,
Jodhpur,Yellow Brown,107,19,217,7.4,316,23,Sesame,Urea,
Jodhpur,Desert Sand,121,21,197,7.4,363,23,Sesame,NPK,
Jodhpur,Yellow Brown,124,18,300,7.9,378,23,Sesame,Vermicompost,
