District_Name,Nitrogen,Phosphorus,Potassium,pH,Rainfall,Temperature,Crop,Fertilizer,Soil_color,Link,Yield
Jodhpur,93,27,290,7.9,250,26,Moth,Urea,Pale Yellow,,45.5
Jodhpur,91,13,215,7.5,310,26,Moth,Urea,Light Brown,,46.95
Jodhpur,105,10,302,8.3,354,26,Moth,Urea,Pale Yellow,,56.25
Jodhpur,89,14,254,8.3,370,26,Moth,Urea,Light Brown,,54.85
Jodhpur,85,14,236,7.3,354,27,Moth,DAP,Sandy Brown,,52.15
Jodhpur,134,16,172,8.2,310,27,Moth,NPK,Pale Yellow,,47.1
Jodhpur,93,21,262,8.3,250,27,Moth,Urea,Sandy Brown,,43.8
Jodhpur,91,21,296,8.1,312,27,Moth,Urea,Yellow Brown,,51.6
Jodhpur,100,16,271,7.3,358,27,Moth,Urea,Sandy Brown,,55.15
Jodhpur,89,12,291,8.3,376,27,Moth,Urea,Light Brown,,57.2
Jodhpur,128,9,280,7.7,361,27,Moth,DAP,Desert Sand,,56.95
Jodhpur,150,21,188,8.4,315,27,Moth,MOP,Pale Yellow,,49.45
Jodhpur,101,12,330,7.5,250,28,Moth,Urea,Yellow Brown,,47.15
Jodhpur,110,14,276,7.8,318,28,Moth,Urea,Pale Yellow,,51.8
Jodhpur,109,20,343,7.4,369,28,Moth,Urea,Light Brown,,60.5
Jodhpur,139,12,212,8,391,28,Moth,DAP,Sandy Brown,,57.25
Jodhpur,82,10,228,7.2,374,28,Moth,DAP,Sandy Brown,,53.4
Jodhpur,94,25,210,7.9,323,28,Moth,Urea,Pale Yellow,,48.75
Jodhpur,138,21,180,8,250,29,Moth,MOP,Yellow Brown,,41.95
Jodhpur,98,11,193,8.4,326,29,Moth,Urea,Sandy Brown,,47.7
Jodhpur,142,12,257,8.3,385,29,Moth,DAP,Light Brown,,59.05
Jodhpur,100,9,237,8.4,408,29,Moth,Urea,Sandy Brown,,58.1
Jodhpur,137,16,289,8.4,390,29,Moth,FYM,Sandy Brown,,61.1
Jodhpur,131,9,284,7.6,332,29,Moth,SSP,Sandy Brown,,54.4
Jodhpur,128,24,177,7.9,250,29,Moth,NPK,Pale Yellow,,41.45
Jodhpur,113,21,250,8.5,334,30,Moth,Urea,Sandy Brown,,52.6
Jodhpur,103,11,311,7.3,398,30,Moth,DAP,Light Brown,,61.05
Jodhpur,129,17,293,8,423,30,Moth,Gypsum,Light Brown,,64.25
Jodhpur,107,12,322,7.7,402,30,Moth,Urea,Sandy Brown,,62.25
Jodhpur,140,13,269,7.5,338,30,Moth,DAP,Yellow Brown,,54.9
Jodhpur,101,17,278,7.4,250,30,Moth,Urea,Desert Sand,,44.8
Jodhpur,111,15,217,7.7,339,31,Moth,Urea,Desert Sand,,51.05
Jodhpur,82,19,176,7.7,405,31,Moth,DAP,Sandy Brown,,54.35
Jodhpur,100,23,183,7.4,430,31,Moth,Urea,Pale Yellow,,58.3
Jodhpur,141,12,333,7.4,406,31,Moth,SSP,Pale Yellow,,64.9
Jodhpur,134,18,346,7.6,340,31,Moth,SSP,Sandy Brown,,58.9
Jodhpur,131,18,248,7.3,250,31,Moth,NPK,Yellow Brown,,44.85
Jodhpur,93,26,172,7.4,339,32,Moth,Urea,Light Brown,,48.45
Jodhpur,95,18,281,8,404,32,Moth,Urea,Sandy Brown,,60.1
Jodhpur,86,9,181,7.8,426,32,Moth,DAP,Light Brown,,56.4
Jodhpur,138,10,352,8.2,401,32,Moth,DAP,Light Brown,,65.1
Jodhpur,92,13,213,8.5,336,32,Moth,Urea,Yellow Brown,,49.5
Jodhpur,98,22,334,7.5,250,32,Moth,Urea,Pale Yellow,,47.7
Jodhpur,79,15,300,7.6,334,33,Moth,DAP,Yellow Brown,,53.1
Jodhpur,99,13,354,7.3,394,33,Moth,Urea,Pale Yellow,,62.7
Jodhpur,89,18,218,7.9,413,33,Moth,Urea,Light Brown,,57.55
Jodhpur,97,18,187,7.4,389,33,Moth,Urea,Pale Yellow,,54
Jodhpur,135,11,167,8.3,329,33,Moth,DAP,Yellow Brown,,48.55
Jodhpur,96,25,235,8.1,250,34,Moth,DAP,Light Brown,,42.8
Jodhpur,102,26,296,8.1,326,34,Moth,Urea,Pale Yellow,,53.8
Jodhpur,130,27,249,8.3,379,34,Guar,Compost,Pale Yellow,,58.2
Jodhpur,90,22,244,8.1,396,34,Guar,Urea,Pale Yellow,,57.4
Jodhpur,109,24,180,8.3,374,34,Guar,Urea,Light Brown,,53.05
Jodhpur,96,23,252,8.2,320,34,Guar,DAP,Pale Yellow,,50.55
Jodhpur,92,27,301,8.5,250,35,Guar,Urea,Light Brown,,46
Jodhpur,73,12,344,7.5,317,35,Guar,Urea,Yellow Brown,,53.15
Jodhpur,87,20,227,7.9,364,35,Guar,Urea,Sandy Brown,,53.1
Jodhpur,121,25,248,7.5,380,35,Guar,Urea,Sandy Brown,,57.7
Jodhpur,116,26,334,8,360,35,Guar,Urea,Yellow Brown,,59.8
Jodhpur,99,20,339,7.6,313,35,Guar,Urea,Sandy Brown,,54.2
Jodhpur,117,31,371,7.3,250,36,Guar,DAP,Sandy Brown,,50.95
Jodhpur,109,27,286,7.8,311,36,Guar,DAP,Desert Sand,,52.2
Jodhpur,81,22,371,7.5,355,36,Guar,DAP,Light Brown,,59.2
Jodhpur,76,28,194,7.3,371,36,Guar,DAP,Pale Yellow,,52
Jodhpur,112,12,375,7.2,354,36,Guar,Urea,Light Brown,,60.35
Jodhpur,89,23,246,7.5,310,36,Guar,DAP,Yellow Brown,,48.9
Jodhpur,98,28,394,7.3,250,37,Guar,DAP,Light Brown,,51
Jodhpur,99,30,232,7.2,310,37,Guar,DAP,Desert Sand,,49.05
Jodhpur,127,29,382,7.3,355,37,Guar,FYM,Desert Sand,,62.4
Jodhpur,108,23,245,7.7,372,37,Guar,Urea,Sandy Brown,,56
Jodhpur,104,28,379,8.1,357,37,Guar,DAP,Yellow Brown,,61.25
Jodhpur,79,10,242,8.4,312,37,Guar,DAP,Light Brown,,47.75
Jodhpur,100,22,206,8.1,250,37,Guar,Urea,Sandy Brown,,41.4
Jodhpur,80,20,167,7.8,314,38,Guar,Urea,Sandy Brown,,44.75
Jodhpur,97,9,206,8,363,38,Guar,Urea,Desert Sand,,51.9
Jodhpur,99,18,366,7.3,383,38,Guar,Urea,Desert Sand,,62.45
Jodhpur,92,23,329,7.3,368,38,Guar,Urea,Light Brown,,59
Jodhpur,95,17,231,7.2,319,38,Guar,Urea,Sandy Brown,,49.05
Jodhpur,117,11,291,7.9,250,38,Guar,DAP,Sandy Brown,,45.95
Jodhpur,91,17,199,7.3,322,39,Guar,DAP,Sandy Brown,,47.55
Jodhpur,100,24,312,7.8,377,39,Guar,Urea,Desert Sand,,59.5
Jodhpur,127,14,407,8.2,400,39,Guar,SSP,Pale Yellow,,67.4
Jodhpur,82,19,277,7.4,383,39,Guar,Urea,Light Brown,,57.2
Jodhpur,120,30,331,7.8,328,39,Guar,Urea,Yellow Brown,,56.85
Jodhpur,72,13,342,8.2,250,39,Guar,Urea,Pale Yellow,,46.35
Jodhpur,86,14,288,8.3,331,39,Guar,Urea,Yellow Brown,,52.5
Jodhpur,102,15,287,7.7,392,39,Guar,DAP,Desert Sand,,59.4
Jodhpur,94,13,347,7.8,417,40,Guar,Urea,Sandy Brown,,64.4
Jodhpur,110,24,191,8.5,397,40,Guar,Urea,Pale Yellow,,55.95
Jodhpur,108,19,321,8.3,336,40,Guar,Urea,Desert Sand,,56
Jodhpur,107,11,365,7.5,250,40,Guar,Urea,Yellow Brown,,49.15
Jodhpur,106,12,195,8.2,338,40,Guar,Urea,Yellow Brown,,49.45
Jodhpur,91,20,273,7.5,403,40,Guar,DAP,Light Brown,,59.5
Jodhpur,107,14,364,7.5,428,40,Guar,Urea,Pale Yellow,,67.05
Jodhpur,98,24,181,8.3,405,40,Guar,Urea,Sandy Brown,,55.65
Jodhpur,117,21,190,8,340,41,Guar,Urea,Sandy Brown,,50.4
Jodhpur,99,12,381,7.7,250,41,Guar,Urea,Yellow Brown,,49.6
Jodhpur,127,24,251,7.5,340,41,Guar,SSP,Pale Yellow,,54.1
Jodhpur,97,14,360,7.7,406,41,Guar,Urea,Sandy Brown,,64.15
Jodhpur,87,13,201,8.2,429,41,Guar,Urea,Pale Yellow,,57.95
Jodhpur,211,13,176,7.4,404,41,Mustard,SSP,Yellow Brown,,60.4
Jodhpur,178,19,167,7.3,339,41,Mustard,NPK,Desert Sand,,52.1
Jodhpur,169,32,148,7.8,250,41,Mustard,NPK,Light Brown,,42.45
Jodhpur,217,19,213,7.2,337,41,Mustard,SSP,Yellow Brown,,56.15
Jodhpur,148,31,242,8,399,41,Mustard,Zinc Sulphate,Light Brown,,60.95
Jodhpur,207,33,288,8.2,420,42,Mustard,Zinc Sulphate,Pale Yellow,,68.4
Jodhpur,188,13,162,8.3,395,42,Mustard,SSP,Yellow Brown,,57.65
Jodhpur,212,23,137,7.3,333,42,Mustard,NPK,Light Brown,,51.9
Jodhpur,183,19,150,7.8,250,42,Mustard,MOP,Light Brown,,42.6
Jodhpur,176,17,239,7.6,330,42,Mustard,Zinc Sulphate,Light Brown,,54.6
Jodhpur,204,19,178,8,386,42,Mustard,NPK,Yellow Brown,,58.65
Jodhpur,164,20,213,8.4,404,42,Mustard,Compost,Desert Sand,,60.25
Jodhpur,222,17,154,7.7,381,42,Mustard,NPK,Desert Sand,,57.75
Jodhpur,258,13,162,7.9,324,42,Mustard,DAP,Sandy Brown,,54.05
Jodhpur,189,17,268,8,250,42,Mustard,NPK,Pale Yellow,,48.7
Jodhpur,163,23,224,8,321,42,Mustard,DAP,Pale Yellow,,52.6
Jodhpur,218,16,263,8,371,42,Mustard,MOP,Desert Sand,,61.95
Jodhpur,221,32,282,7.4,387,42,Mustard,Gypsum,Desert Sand,,65.45
Jodhpur,155,23,187,7.5,366,43,Mustard,NPK,Light Brown,,54.85
Jodhpur,197,12,271,7.6,316,43,Mustard,SSP,Pale Yellow,,55.6
Jodhpur,235,22,212,8.4,250,43,Mustard,FYM,Pale Yellow,,48.45
Jodhpur,146,14,150,8.2,314,43,Mustard,SSP,Pale Yellow,,46.9
Jodhpur,176,17,163,7.4,359,43,Mustard,MOP,Light Brown,,53.7
Jodhpur,231,20,215,8.4,374,43,Mustard,Vermicompost,Light Brown,,60.7
Jodhpur,212,12,258,7.6,356,43,Mustard,SSP,Yellow Brown,,59.7
Jodhpur,242,31,264,7.6,311,43,Mustard,Compost,Sandy Brown,,57.95
Jodhpur,214,13,150,8.3,250,43,Mustard,DAP,Sandy Brown,,43.85
Jodhpur,168,28,265,7.4,310,43,Mustard,FYM,Yellow Brown,,54.05
Jodhpur,239,32,288,7.9,354,43,Mustard,Urea,Sandy Brown,,63.35
Jodhpur,251,14,296,8.1,370,43,Mustard,DAP,Desert Sand,,65.05
Jodhpur,159,20,168,8.3,354,43,Mustard,MOP,Yellow Brown,,52.75
Jodhpur,219,28,160,7.4,311,43,Mustard,NPK,Sandy Brown,,51.45
Jodhpur,200,20,229,8.3,250,43,Mustard,Vermicompost,Desert Sand,,47.45
Jodhpur,141,28,190,7.5,312,43,Mustard,MOP,Desert Sand,,49.15
Jodhpur,235,15,136,8,358,43,Mustard,NPK,Desert Sand,,55.1
Jodhpur,209,29,243,7.7,377,43,Mustard,Vermicompost,Sandy Brown,,61.75
Jodhpur,134,26,207,7.6,362,43,Mustard,NPK,Pale Yellow,,54.55
Jodhpur,178,28,264,8.2,316,43,Mustard,FYM,Pale Yellow,,55.1
Jodhpur,138,22,238,8,250,43,Mustard,SSP,Light Brown,,44.9
Jodhpur,156,13,155,7.2,318,43,Mustard,DAP,Light Brown,,48
Jodhpur,195,15,191,7.4,370,43,Mustard,NPK,Yellow Brown,,57.05
Jodhpur,182,21,274,7.2,392,43,Mustard,Urea,Desert Sand,,63.05
Jodhpur,205,21,278,7.4,375,43,Mustard,Gypsum,Light Brown,,62.7
Jodhpur,183,19,141,8.1,324,43,Mustard,NPK,Pale Yellow,,49.55
Jodhpur,153,11,236,7.4,250,43,Mustard,DAP,Sandy Brown,,45
Jodhpur,191,14,174,7.5,327,43,Mustard,DAP,Sandy Brown,,51.65
Jodhpur,210,27,304,7.4,386,43,Mustard,Zinc Sulphate,Pale Yellow,,65.65
Jodhpur,238,29,231,8.5,409,43,Mustard,Gypsum,Desert Sand,,65.8
Jodhpur,233,23,159,8.3,390,43,Mustard,NPK,Desert Sand,,59.75
Jodhpur,153,28,184,7.2,332,43,Mustard,MOP,Desert Sand,,51.45
Jodhpur,199,30,154,7.6,250,43,Wheat,NPK,Light Brown,,44.15
Jodhpur,248,22,173,7.2,335,43,Wheat,NPK,Sandy Brown,,55.65
Jodhpur,271,30,185,7.6,399,43,Wheat,MOP,Pale Yellow,,64.2
Jodhpur,211,27,249,7.2,424,43,Wheat,Zinc Sulphate,Desert Sand,,66.75
Jodhpur,218,33,292,7.3,402,43,Wheat,NPK,Light Brown,,67.35
Jodhpur,245,17,190,7.3,338,42,Wheat,MOP,Desert Sand,,56.4
Jodhpur,228,35,247,7.8,250,42,Wheat,NPK,Desert Sand,,50.5
Jodhpur,204,30,325,7.7,340,42,Wheat,Zinc Sulphate,Yellow Brown,,61.95
Jodhpur,255,22,162,7.8,406,42,Wheat,MOP,Sandy Brown,,62.55
Jodhpur,174,27,193,7.7,430,42,Wheat,NPK,Pale Yellow,,62.7
Jodhpur,216,25,153,8.3,406,42,Wheat,MOP,Sandy Brown,,60.3
Jodhpur,204,16,167,7.8,340,42,Wheat,NPK,Yellow Brown,,53.35
Jodhpur,209,16,164,8.1,250,42,Wheat,MOP,Yellow Brown,,44.45
Jodhpur,222,13,276,7.7,339,42,Wheat,DAP,Pale Yellow,,59.45
Jodhpur,155,16,283,7.8,403,42,Wheat,Gypsum,Pale Yellow,,63
Jodhpur,264,36,251,7.5,426,42,Wheat,FYM,Pale Yellow,,70.15
Jodhpur,209,29,271,7.5,401,42,Wheat,Urea,Light Brown,,65.55
Jodhpur,217,28,297,8.2,336,42,Wheat,Compost,Sandy Brown,,60.7
Jodhpur,246,12,165,8,250,42,Wheat,SSP,Light Brown,,46.15
Jodhpur,248,20,326,7.3,334,41,Wheat,Compost,Sandy Brown,,63.1
Jodhpur,223,13,291,8.4,393,41,Wheat,DAP,Pale Yellow,,65.65
Jodhpur,161,12,223,7.8,412,41,Wheat,DAP,Sandy Brown,,61
Jodhpur,238,23,300,7.7,388,41,Wheat,Gypsum,Sandy Brown,,66.85
Jodhpur,264,30,245,7.8,328,41,Wheat,SSP,Sandy Brown,,59.75
Jodhpur,208,28,243,8.3,250,41,Wheat,FYM,Sandy Brown,,48.95
Jodhpur,209,22,269,7.6,325,41,Wheat,Zinc Sulphate,Pale Yellow,,57.5
Jodhpur,192,35,160,7.3,378,41,Wheat,NPK,Desert Sand,,57.15
Jodhpur,253,30,246,8.2,395,41,Wheat,Vermicompost,Light Brown,,65.95
Jodhpur,186,34,186,8,373,41,Wheat,NPK,Light Brown,,57.6
Jodhpur,184,23,228,7.7,319,40,Wheat,NPK,Yellow Brown,,53.65
Jodhpur,163,36,213,7.7,250,40,Wheat,FYM,Light Brown,,45.6
Jodhpur,208,13,284,7.2,317,40,Wheat,DAP,Light Brown,,56.95
Jodhpur,224,25,277,7.8,364,40,Wheat,Zinc Sulphate,Sandy Brown,,62.7
Jodhpur,268,15,247,7.4,379,40,Wheat,FYM,Sandy Brown,,64.4
Jodhpur,280,14,301,7.5,360,40,Wheat,SSP,Light Brown,,65.75
Jodhpur,144,24,172,8.5,313,40,Wheat,MOP,Yellow Brown,,48.3
Jodhpur,196,31,285,7.5,250,40,Wheat,DAP,Desert Sand,,50.6
Jodhpur,244,31,300,7.2,311,39,Wheat,SSP,Pale Yellow,,59.85
Jodhpur,207,22,159,8.3,355,39,Wheat,NPK,Desert Sand,,54.9
Jodhpur,177,34,169,7.3,371,39,Wheat,MOP,Yellow Brown,,56.1
Jodhpur,246,14,308,7.5,354,39,Wheat,DAP,Yellow Brown,,63.8
Jodhpur,209,30,250,7.2,310,39,Wheat,Zinc Sulphate,Yellow Brown,,55.45
Jodhpur,219,35,235,7.8,250,39,Wheat,Zinc Sulphate,Pale Yellow,,49.45
Jodhpur,209,25,262,8.2,310,39,Wheat,FYM,Pale Yellow,,55.8
Jodhpur,252,33,176,7.5,355,38,Wheat,NPK,Yellow Brown,,58.55
Jodhpur,184,17,311,7.4,372,38,Wheat,SSP,Light Brown,,62.8
Jodhpur,186,19,178,8,357,38,Wheat,MOP,Pale Yellow,,54.85
Jodhpur,263,15,196,7.3,313,38,Wheat,MOP,Yellow Brown,,55
Jodhpur,209,27,298,8.4,250,38,Wheat,FYM,Sandy Brown,,51.7
Jodhpur,167,35,199,8.5,315,38,Wheat,NPK,Light Brown,,51.55
Jodhpur,154,16,218,7.5,364,38,Cumin,Vermicompost,Yellow Brown,,55.8
Jodhpur,161,18,147,7.5,384,37,Cumin,MOP,Sandy Brown,,54.7
Jodhpur,135,8,142,8.4,368,37,Cumin,DAP,Pale Yellow,,51.05
Jodhpur,138,11,214,7.4,320,37,Cumin,DAP,Pale Yellow,,50.15
Jodhpur,163,18,209,7.4,250,37,Cumin,Vermicompost,Pale Yellow,,44.5
Jodhpur,107,13,170,8.4,323,37,Cumin,Urea,Light Brown,,46.8
Jodhpur,146,21,173,7.5,378,37,Cumin,NPK,Sandy Brown,,54.8
Jodhpur,97,12,181,8.4,401,36,Cumin,DAP,Pale Yellow,,54.6
Jodhpur,145,16,255,7.2,383,36,Cumin,Urea,Light Brown,,59.1
Jodhpur,120,7,136,7.7,329,36,Cumin,DAP,Yellow Brown,,46.05
Jodhpur,96,18,228,8,250,36,Cumin,Urea,Yellow Brown,,42.1
Jodhpur,113,20,119,8.4,331,36,Cumin,Urea,Light Brown,,45.7
Jodhpur,93,20,115,8.1,393,36,Cumin,Urea,Sandy Brown,,50.7
Jodhpur,152,17,208,7.3,418,35,Cumin,Compost,Yellow Brown,,60.65
Jodhpur,149,18,181,8.3,397,35,Cumin,MOP,Pale Yellow,,57.1
Jodhpur,107,15,264,8.2,336,35,Cumin,DAP,Sandy Brown,,52.9
Jodhpur,142,18,176,8.3,250,35,Cumin,MOP,Sandy Brown,,41.8
Jodhpur,121,7,225,8.2,338,35,Cumin,DAP,Sandy Brown,,51.45
Jodhpur,165,9,235,7.7,403,35,Cumin,SSP,Light Brown,,60.75
Jodhpur,110,17,197,8,428,34,Cumin,Urea,Light Brown,,59
Jodhpur,135,15,179,8,405,34,Cumin,MOP,Light Brown,,56.95
Jodhpur,152,11,180,8.2,340,34,Cumin,DAP,Desert Sand,,51.15
Jodhpur,113,14,158,7.6,250,34,Cumin,DAP,Desert Sand,,39.25
Jodhpur,133,19,187,8.2,340,34,Cumin,NPK,Desert Sand,,50.95
Jodhpur,142,22,206,7.7,406,34,Cumin,DAP,Desert Sand,,59.1
Jodhpur,118,19,138,7.4,429,33,Cumin,Urea,Light Brown,,56.65
Jodhpur,146,21,235,7.4,404,33,Cumin,DAP,Desert Sand,,60.5
Jodhpur,167,17,239,8.1,338,33,Cumin,NPK,Yellow Brown,,54.95
Jodhpur,132,20,150,8.2,250,33,Cumin,NPK,Desert Sand,,40.1
Jodhpur,145,21,137,7.4,337,33,Cumin,NPK,Desert Sand,,48.85
Jodhpur,156,13,233,7.3,399,33,Cumin,DAP,Pale Yellow,,60
Jodhpur,118,14,187,7.8,419,32,Cumin,Urea,Light Brown,,57.85
Jodhpur,136,17,166,7.2,395,32,Cumin,MOP,Sandy Brown,,55.45
Jodhpur,114,16,205,8.2,332,32,Cumin,DAP,Yellow Brown,,49.95
Jodhpur,109,9,252,7.7,250,32,Cumin,Urea,Sandy Brown,,43.5
Jodhpur,104,7,146,8.3,330,32,Cumin,Urea,Desert Sand,,45.85
Jodhpur,93,12,148,8.1,385,32,Cumin,Urea,Pale Yellow,,51.15
Jodhpur,105,17,212,7.3,403,31,Cumin,Urea,Pale Yellow,,57
Jodhpur,115,12,242,7.2,380,31,Cumin,Urea,Light Brown,,56.45
Jodhpur,145,16,178,8,324,31,Cumin,NPK,Pale Yellow,,49.35
Jodhpur,132,18,172,8.4,250,31,Cumin,MOP,Yellow Brown,,41.1
Jodhpur,133,11,222,8.4,321,31,Cumin,DAP,Yellow Brown,,50.4
Jodhpur,160,10,143,8.3,370,31,Cumin,DAP,Desert Sand,,52.65
Jodhpur,127,15,220,7.3,386,30,Cumin,SSP,Sandy Brown,,56.7
Jodhpur,107,8,158,7.9,365,30,Cumin,Urea,Light Brown,,50.15
Jodhpur,148,17,198,8.1,315,30,Cumin,NPK,Yellow Brown,,49.65
Jodhpur,141,8,206,7.3,250,30,Cumin,DAP,Light Brown,,42.75
Jodhpur,92,19,114,7.2,313,30,Cumin,Urea,Yellow Brown,,42.55
Jodhpur,98,8,159,8,358,30,Cumin,DAP,Yellow Brown,,49.05
Jodhpur,119,8,231,7.8,373,29,Cumin,Urea,Yellow Brown,,55.2
Jodhpur,160,19,173,8.2,356,29,Isabgol,NPK,Desert Sand,,53.2
Jodhpur,133,21,174,8,311,29,Isabgol,MOP,Yellow Brown,,47.5
Jodhpur,157,18,268,7.8,250,29,Isabgol,Urea,Yellow Brown,,47.15
Jodhpur,117,9,185,8.4,310,29,Isabgol,Urea,Yellow Brown,,46.55
Jodhpur,113,23,181,8.5,354,29,Isabgol,DAP,Yellow Brown,,51.25
Jodhpur,164,18,143,7.6,370,28,Isabgol,NPK,Yellow Brown,,53.25
Jodhpur,140,18,223,8.2,355,28,Isabgol,FYM,Pale Yellow,,54.55
Jodhpur,145,23,194,8.3,311,28,Isabgol,NPK,Light Brown,,49.2
Jodhpur,126,15,182,7.8,250,28,Isabgol,NPK,Light Brown,,41.15
Jodhpur,166,12,126,7.9,312,28,Isabgol,DAP,Sandy Brown,,46.4
Jodhpur,198,12,309,7.4,359,28,Isabgol,DAP,Yellow Brown,,61.85
Jodhpur,175,9,251,7.5,378,28,Isabgol,SSP,Light Brown,,59.55
Jodhpur,141,18,195,7.6,362,27,Isabgol,NPK,Sandy Brown,,53.9
Jodhpur,170,17,277,8.5,316,27,Isabgol,Compost,Yellow Brown,,54.8
Jodhpur,165,16,270,8.5,250,27,Isabgol,Vermicompost,Yellow Brown,,47.55
Jodhpur,166,14,255,7.9,319,27,Isabgol,DAP,Light Brown,,53.65
Jodhpur,109,11,165,8.4,371,27,Isabgol,Urea,Yellow Brown,,51.35
Jodhpur,165,20,236,8.2,393,27,Isabgol,Urea,Yellow Brown,,60.35
Jodhpur,150,19,216,8.3,376,27,Isabgol,DAP,Desert Sand,,56.85
Jodhpur,164,11,175,7.9,324,26,Isabgol,DAP,Light Brown,,49.9
Jodhpur,140,14,187,8,250,26,Isabgol,SSP,Yellow Brown,,42.05
Jodhpur,110,17,199,7.7,327,26,Isabgol,Urea,Pale Yellow,,49
Jodhpur,113,20,136,7.7,386,26,Isabgol,Urea,Light Brown,,52.05
Jodhpur,171,8,218,8.4,410,26,Isabgol,SSP,Sandy Brown,,60.85
Jodhpur,168,18,172,7.7,391,26,Isabgol,NPK,Desert Sand,,57
Jodhpur,153,18,189,8.5,333,26,Isabgol,MOP,Pale Yellow,,51.3
Jodhpur,156,16,241,7.2,250,26,Isabgol,MOP,Sandy Brown,,45.65
Jodhpur,153,13,271,7.3,335,25,Isabgol,SSP,Desert Sand,,55.35
